Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(째C);TEMPERATURA MAXIMA, DIARIA (AUT)(째C);TEMPERATURA MEDIA, DIARIA (AUT)(째C);TEMPERATURA MINIMA, DIARIA (AUT)(째C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2024-01-01;1;1010.4;20.6;24.7;23;22.1;86.8;76;10.6;3.2;
2024-01-02;7.4;1008.8;21.8;28.7;24.1;21.8;87.9;67;5.7;1.6;
2024-01-03;1;1008.1;23.2;29.7;25.6;23.5;87.5;62;9.7;2.8;
2024-01-04;1.2;1006;23.9;30.4;25.7;24.3;90.7;66;7.6;2.7;
2024-01-05;13.6;1005;22.6;29.4;25;22.9;87.2;70;7.5;1.5;
2024-01-06;1.2;1007.4;21.1;30.1;25.9;23.3;75.5;60;9;2.3;
2024-01-07;0;1009.1;21.5;30.8;26.2;22.2;76.3;51;5.9;1.4;
2024-01-08;0;1008.4;23;33.6;27.2;23.5;79.7;50;11.7;3.1;
2024-01-09;0;1008.2;22.9;34.4;27;24.5;79;57;10;3.3;
2024-01-10;1;1008.9;22.3;32.1;27.3;24;75.3;52;11.9;4;
2024-01-11;0;1008.9;20.4;32.4;26.9;22.1;69.6;42;13.4;4.7;
2024-01-12;0;1006.6;20.5;33.8;27.6;22.1;66.9;42;12.6;4.8;
2024-01-13;0;1008;20.6;34.2;28.4;24.8;63.8;41;11.8;4.7;
2024-01-14;0;1010.3;20.9;33.7;27.9;24.5;66.8;42;12.6;4.3;
2024-01-15;0;1010.6;20.9;35.5;28.5;23.5;65;39;13.1;4.9;
2024-01-16;0;1010.6;21.4;34.9;28.6;24.5;66.2;43;13.3;5.4;
2024-01-17;null;1010.2;19.8;35.9;28.4;24.1;61.6;28;13.4;5.4;
2024-01-18;0;1009.2;19.6;34.9;28;23.2;62;34;12.7;4.9;
2024-01-19;0;1007.6;20.5;35.7;28.1;23.5;65.3;39;12.7;4.8;
2024-01-20;0;1004;21.4;35.9;null;25.2;63.8;44;12.1;4.9;
2024-01-21;9.2;1005;22.5;31.8;26.1;22.9;81.8;56;11.3;2;
2024-01-22;50.2;1007.7;22.5;30.4;25.3;22.4;85.7;63;12.6;2.5;
2024-01-23;7.2;1008;22.2;29.1;25.1;22.9;84.9;63;10.2;2.4;
2024-01-24;3.8;1005.2;21.8;27.7;23.7;21.5;89.8;68;9.6;2;
2024-01-25;6.4;1003.5;23.1;30.8;25.3;22.1;88.7;66;5.1;1.2;
2024-01-26;35.8;1005.2;23.3;30;25.5;23.3;88.5;65;7.9;1.7;
2024-01-27;5.8;1007.5;22.7;30.3;25.5;23.3;85.5;64;8.2;1.8;
2024-01-28;3.4;1009;23.9;29.8;25.7;23.4;90.1;69;7.5;1.8;
2024-01-29;1.2;1008.5;23.6;34.9;26.6;23.2;84.1;48;13;2.7;
2024-01-30;75;1007.7;23.7;32;26.3;22;86.3;64;5.2;1.3;
2024-01-31;6.2;1008.5;22.7;32.1;26.3;22.4;82.1;54;7.5;1.8;
2024-02-01;.2;1010.8;23.3;31.3;26.6;24;83.4;60;11.8;2.8;
2024-02-02;0;1012.6;22.6;31.9;26.5;22.2;80.5;51;7.9;2.1;
2024-02-03;3.2;1013.3;23.6;31.7;26.6;23.3;84.9;61;6.6;1.3;
2024-02-04;.2;1012.2;22.5;32.1;26.6;23.2;80.1;52;8.6;2.3;
2024-02-05;0;1010.7;22.3;31.8;26.3;22.4;80.2;52;11;2.6;
2024-02-06;0;1011.1;22.4;33;27;24.5;76.9;55;8.9;2.8;
2024-02-07;0;1010;21.9;31.5;26.1;21;79.2;54;6.8;1.5;
2024-02-08;0;1009;23.2;31.1;27;23.4;81.1;55;9.5;2.7;
2024-02-09;null;1011.2;21.6;32.9;26.5;21.6;76.7;50;10.4;2.7;
2024-02-10;16.4;1013.4;21.9;30.4;24.5;21.3;86.2;62;8.8;1.9;
2024-02-11;5.6;1014.8;21.9;31.5;25.9;20.7;80.4;54;8.3;2.5;
2024-02-12;0;1014.3;22.8;31.6;26.6;22.1;81.3;57;12;3;
2024-02-13;0;1012.6;22.2;32.3;27.1;21.9;76.1;52;10.6;3.7;
2024-02-14;0;1009.9;22;32.9;27.3;23.1;73.6;52;9.6;3.6;
2024-02-15;0;1009.4;22.5;30.7;25.2;23.8;85.8;61;7.2;2;
2024-02-16;38.2;1008.5;22.6;30;25.2;23.1;86.8;59;5.6;1.3;
2024-02-17;.6;1006.9;22.6;31.7;26.2;22.1;81.8;60;6.9;1.6;
2024-02-18;0;1005.6;23.6;30.3;26.3;23.3;86;67;7.2;1.3;
2024-02-19;0;1004.4;23.5;32.3;25.7;23.7;88.7;62;10.9;1.6;
2024-02-20;15.4;1003.6;23.4;30.2;25.6;22.3;88.5;66;10.2;2.3;
2024-02-21;20.8;1005.8;23.7;29.1;25.3;23.3;91.3;70;10.8;3.5;
2024-02-22;5.4;1008.6;24.1;27.9;25.2;24.2;93.8;80;9.8;3.4;
2024-02-23;21.2;1011.1;24.1;31.9;27.1;23.6;84.7;61;12.6;3.7;
2024-02-24;.2;1013.1;23.4;31.5;27.2;23.9;80.9;58;12.3;3.9;
2024-02-25;0;1013.1;22.5;31.6;26.7;23;79.7;52;7.4;2.8;
2024-02-26;0;1012;21.6;31.6;25.8;21.9;79.8;52;5.1;1.6;
2024-02-27;0;1009.5;20.9;31.3;25.8;21.3;76.6;43;5.7;2.1;
2024-02-28;0;1007;22.9;35.5;28.1;22.5;79.2;46;8.3;2.8;
2024-02-29;0;1007.5;24.4;32.7;27.4;24.3;84.7;56;4.5;1;
2024-03-01;0;1006.4;23.7;32.3;27.3;24;81.8;59;5.5;1.1;
2024-03-02;27.4;1008.2;22;29.3;25;22.5;84.5;59;15.4;2.7;
2024-03-03;0;1009.8;20.9;30.7;25.2;21.4;78;54;5.2;1.7;
2024-03-04;0;1009.5;22.1;31.2;26.2;22.8;79.7;51;8.1;2.2;
2024-03-05;0;1008.5;23.2;34.5;27.8;24.2;77.3;52;8.7;2.6;
2024-03-06;0;1009.3;23.3;31.8;27.2;25.2;79.8;61;8.1;2.5;
2024-03-07;null;1012.3;24.1;31.2;26.7;23.7;86.9;64;5.3;.9;
2024-03-08;.2;1011.7;23.5;30.2;26;23.5;87.1;66;9.9;2.1;
2024-03-09;.2;1009.6;22.7;31.7;26.8;22.9;79.9;50;11.1;3.1;
2024-03-10;0;1007.2;23.2;32.5;27.6;24.6;78.1;58;9.2;3.8;
2024-03-11;1.4;1009.2;23.3;31.3;26.7;24.4;82.5;62;11.4;2.8;
2024-03-12;0;1012.1;21.8;31.1;26.5;24.3;76.4;51;7.4;2;
2024-03-13;0;1011.9;21.7;31;25.9;21.7;78.9;53;4.9;1.2;
2024-03-14;0;1010.6;23;32;26.8;22.6;80.9;58;7.4;1.7;
2024-03-15;0;1008.5;23.2;31.9;27.2;22.9;80;58;8.4;2.2;
2024-03-16;0;1006.6;23.3;33.7;28;24.4;76.8;51;11.3;3.5;
2024-03-17;0;1006.4;23.8;34.7;28.3;24.4;77.7;54;10.3;3.4;
2024-03-18;0;1006.5;24.1;33.6;28.6;24.9;77.4;59;6.3;2.2;
2024-03-19;0;1006.8;23.4;34.2;27.7;23.3;79.5;44;10.7;2.7;
2024-03-20;0;1006.2;22.3;33.3;27.8;23.1;72.8;48;11.7;3.7;
2024-03-21;0;1006.3;22.3;35.5;28.9;24.8;69.3;43;11.7;4.5;
2024-03-22;0;1007.2;22.8;34.6;28.4;25.5;72.5;52;8.6;3.2;
2024-03-23;0;1010.2;22.2;28;25.5;24.5;82.4;68;11;3;
2024-03-24;1.6;1010.1;22;31.1;25.9;23.2;79.8;60;10.9;1.4;
2024-03-25;1.2;1008.7;22.6;31.1;26;22.4;82.9;54;6.4;1.4;
2024-03-26;.2;1010;22.4;31;25.7;22.6;82.9;61;8.7;2;
2024-03-27;0;1012.2;21;30.6;25.7;23.2;75.8;56;9;2.4;
2024-03-28;0;1013.4;21.4;31.6;26.1;22.9;76.4;56;7.5;1.7;
2024-03-29;0;1012.7;22.5;32.7;26.9;22.8;78.6;52;6.1;1.5;
2024-03-30;0;1009.2;23.4;34.5;26.8;23.6;83.9;47;10.3;2.1;
2024-03-31;27;1008.4;22.5;30;25.4;23;85.1;63;11.5;2.2;
2024-04-01;0;1009.3;21.1;30.2;25.3;21.7;78.3;53;8.8;2;
2024-04-02;0;1008.1;21.5;31.7;26.2;21.5;76.5;57;8.4;1.8;
2024-04-03;0;1008.2;24;31.8;26.5;23.8;86.8;65;6.2;1.2;
2024-04-04;0;1010.3;22.9;31.9;26.6;22.9;81.5;54;6.3;1.5;
2024-04-05;0;1010.5;22.1;32.1;26.4;21.7;79.3;48;6.3;1.3;
2024-04-06;3.2;1010.6;21.5;30.9;26;22.3;78.3;51;7.2;1.8;
2024-04-07;0;1012.7;20.1;31.1;25.2;21.1;75.6;47;5.7;1.6;
2024-04-08;0;1011.8;20.3;31.8;25.5;21.5;74.5;50;7.5;2.4;
2024-04-09;0;1010.2;21.6;32.7;25.9;21.1;79;52;9;1.9;
2024-04-10;.8;1008.5;22.3;32.6;26.2;22;81.2;52;7.3;1.7;
2024-04-11;0;1009.5;22.2;32.7;26.4;21.9;79.9;53;7;1.6;
2024-04-12;1;1011.9;22.6;32;26.1;23.2;82.3;53;7.1;1.7;
2024-04-13;9.4;1012.7;21.9;31.2;25.5;22.6;82.2;53;5.2;1.4;
2024-04-14;1;1012;22.3;29.3;24.2;21.9;89.7;68;4.8;1.5;
2024-04-15;8.2;1012.9;21.5;31.1;25.4;21.6;81.1;51;7.2;1.6;
2024-04-16;7.2;1014.1;21.4;31;25.1;22.5;82.1;49;7.1;1.9;
2024-04-17;.2;1011;21.4;30.5;25.6;21.8;79.4;56;10.5;2.6;
2024-04-18;0;1009.4;20.2;31.3;25;21.5;76.1;54;12.9;3.5;
2024-04-19;5.6;1013;17.4;27.1;22.9;19.6;71.7;58;11.4;3.8;
2024-04-20;0;1015;17.8;28.2;23.8;19.2;69.9;50;10.3;2.4;
2024-04-21;0;1014.1;18.4;29.4;23.6;19.1;74.4;45;6.4;1.6;
2024-04-22;0;1012;19.3;30.6;24.1;20.2;75.8;55;6.5;2.5;
2024-04-23;0;1010.8;21.5;31.2;25.5;21.9;79.3;58;6.9;2.1;
2024-04-24;0;1009.8;22.2;33.2;25.6;21.7;83.3;52;10.2;2.2;
2024-04-25;0;1010.7;21.5;29.8;25.2;20.9;81.3;58;10.9;2.4;
2024-04-26;8.6;1012.7;23;25.4;23.7;22.4;95.8;82;9.2;1.8;
2024-04-27;28.4;1012.2;20.7;29.3;23.9;21.3;83.6;51;6.1;1.8;
2024-04-28;0;1009.4;20.5;31.7;24.6;19.4;80.3;47;9.6;2.2;
2024-04-29;0;1010.3;21.5;32;25;20.5;83.3;55;7.6;1.2;
2024-04-30;0;1011.7;21.5;31.1;25.2;20.8;81.7;54;7.5;2.2;
2024-05-01;0;1010.5;21.3;30.5;24.8;19.4;82.5;59;8.9;2.2;
2024-05-02;0;1007.9;21.3;32.9;26.1;20.7;76.9;45;10.1;3.2;
2024-05-03;0;1008.4;21.2;33.5;25.7;20.3;78;45;8;2.6;
2024-05-04;0;1012.3;21.3;31.5;25.4;20.6;79.5;49;8.8;2.2;
2024-05-05;0;1014.7;21.8;30.7;25.2;21.5;82.8;59;7.2;1.6;
2024-05-06;10.2;1013.5;22.2;30.3;25.6;22.8;82;55;8.4;1.9;
2024-05-07;0;1012.6;20.6;29.5;24.3;20.7;81;59;9.5;2;
2024-05-08;1;1012.6;22.6;30;25.2;21.7;85.1;62;9.1;2.2;
2024-05-09;0;1012.7;22;31.2;25.8;21.3;80.8;55;9.5;2.3;
2024-05-10;0;1011.2;22.6;31;26.1;22.8;82.2;59;6.1;1.6;
2024-05-11;0;1009.8;22.1;32;26.4;22.9;79;48;9.4;2.1;
2024-05-12;0;1008.3;21.9;33.5;26.9;22.7;75.5;48;7.8;2.4;
2024-05-13;0;1007.4;22.4;32.3;26.3;22.6;80.4;58;9.6;2.4;
2024-05-14;0;1008;20.9;31.1;25.2;20.1;79.1;49;14.3;2.7;
2024-05-15;0;1011.3;20.5;30.4;25.4;21.6;75.3;51;8.3;2;
2024-05-16;0;1012.8;21.1;29.3;24.6;20.1;82.2;58;5.8;1.1;
2024-05-17;0;1013;21.5;32.2;25.5;20.1;80.8;49;9.6;2.5;
2024-05-18;0;1012.4;20.9;32.3;25.8;20.9;76.3;44;10.3;3;
2024-05-19;0;1012.7;20.6;31.2;24.9;20.5;78.6;52;7.7;2.2;
2024-05-20;0;1013.2;18.9;31.4;24.3;19.6;75.8;26;8.1;2.1;
2024-05-21;0;1015.6;19.3;30.4;23.4;17.7;79.5;52;7.3;1.8;
2024-05-22;0;1016.3;20.7;29;23.9;21.1;83.3;61;5.8;1.3;
2024-05-23;0;1014;18.8;31;23.7;19;76.3;42;12.4;3.3;
2024-05-24;0;1011.2;17.7;32.1;24.8;18.2;67.9;39;10.2;3.3;
2024-05-25;0;1011.7;17.9;31.1;24.2;19.7;68.9;44;11.7;2.6;
2024-05-26;0;1015.4;19.7;25.4;23.6;22.9;79.3;70;10.4;2.8;
2024-05-27;15.4;1015.4;20.7;28.6;null;20.9;86.9;62;6.7;1.9;
2024-05-28;null;null;null;null;null;null;null;47;null;null;
2024-05-29;null;null;null;null;null;null;null;64;null;null;
2024-05-30;null;null;null;null;null;null;null;55;null;null;
2024-05-31;null;null;null;null;null;null;null;50;null;null;
2024-06-01;null;null;null;null;null;null;null;52;null;null;
2024-06-02;null;null;null;null;null;null;null;40;null;null;
2024-06-03;null;null;null;null;null;null;null;62;null;null;
2024-06-04;null;null;null;null;null;null;null;56;null;null;
2024-06-05;null;null;null;null;null;null;null;58;null;null;
2024-06-06;null;null;null;null;null;null;null;67;null;null;
2024-06-07;null;null;null;null;null;null;null;56;null;null;
2024-06-08;null;null;null;null;null;null;null;74;null;null;
2024-06-09;null;null;null;null;null;null;null;52;null;null;
2024-06-10;null;null;null;null;null;null;68.5;44;9;null;
2024-06-11;0;1015.2;17.5;29.9;null;16.5;77.4;48;4.5;1.3;
2024-06-12;null;null;null;null;null;null;null;46;null;null;
2024-06-13;null;null;null;null;null;null;null;54;null;null;
2024-06-14;null;null;null;null;null;null;null;40;null;null;
2024-06-15;null;null;null;null;null;null;null;53;null;null;
2024-06-16;null;null;null;null;null;null;null;52;null;null;
2024-06-17;null;null;null;null;null;null;null;55;null;null;
2024-06-18;null;null;null;null;null;null;null;50;null;null;
2024-06-19;null;null;null;null;null;null;null;49;null;null;
2024-06-20;null;null;null;null;null;null;null;48;null;null;
2024-06-21;null;null;null;null;null;null;null;50;null;null;
2024-06-22;null;null;null;null;null;null;null;56;null;null;
2024-06-23;null;null;null;null;null;null;62.6;42;null;null;
2024-06-24;null;null;null;null;null;null;null;48;null;null;
2024-06-25;null;null;null;null;null;null;null;55;null;null;
2024-06-26;null;null;null;null;null;null;72.1;60;7.6;null;
2024-06-27;0;1009.4;18.9;32.2;23.4;17.7;77.3;52;10.8;2.2;
2024-06-28;0;1010;19.8;31.2;24.3;20.7;76.5;51;9.7;2.7;
2024-06-29;0;1009.6;18.7;32.8;24.9;20.1;70.2;44;8.5;2.8;
2024-06-30;0;1013.3;17.8;27.2;22.7;19.2;74.2;63;11.9;2.8;
2024-07-01;0;1016.5;17.2;25.8;22.3;20.3;73.2;62;8.6;2.5;
2024-07-02;0;1016.9;18.3;26.8;22.3;19.5;78.7;65;9.2;2.1;
2024-07-03;0;1014.4;17.7;31.2;23;16.9;74;41;10;2.6;
2024-07-04;0;1013;16.5;31.4;22.4;16.1;71.3;43;7.8;1.9;
2024-07-05;0;1014.8;16.7;30.2;21.9;15.3;73.8;46;9.5;2.6;
2024-07-06;0;1015.9;17.6;32.6;23.1;16.6;73;42;8.1;2.4;
2024-07-07;0;1015.4;18.2;28.9;23;17.8;75.5;52;10.4;2.3;
2024-07-08;0;1012.5;17.9;31.6;23.1;17.2;73.9;50;7.2;2.4;
2024-07-09;0;1012;19.2;30;23.7;18.8;76.5;56;10.3;2.6;
2024-07-10;0;1011.3;18.8;31.9;24.6;20.4;71.9;40;11.5;4.1;
2024-07-11;0;1014.5;18.6;32.1;24.3;18;71.8;43;11.7;3.8;
2024-07-12;0;1018.3;18.7;30.8;24;18.1;73.8;51;10.9;2.7;
2024-07-13;10.8;1019.8;19.3;24.5;21.8;20.6;85.9;76;6.6;1.6;
2024-07-14;.2;1018;17.5;28.5;21.8;16.1;78.2;57;9.2;2.3;
2024-07-15;0;1018.3;17.3;29.8;22.6;16.9;73.6;45;7;2.1;
2024-07-16;0;1020.2;17.9;26.6;21.5;17.9;80.3;65;5.7;1.6;
2024-07-17;0;1019.1;17.2;28.7;21.4;16.9;78.2;59;6.8;1.8;
2024-07-18;0;1016.7;17.9;30;21.8;16.1;79.8;58;5.2;1.3;
2024-07-19;0;1019.7;16.7;27;21.8;18.4;73.3;56;11.6;2.8;
2024-07-20;0;1019.3;15.7;27;20.7;14.6;74.1;55;7.3;2;
2024-07-21;0;1018.8;16.2;27.2;21.9;18.2;71.2;47;7.6;2.1;
2024-07-22;0;1017.8;16.5;28.8;21.9;15.9;72.3;53;9;2.3;
2024-07-23;0;1019.1;16.3;27.8;20.6;13.7;77.5;59;8.1;1.6;
2024-07-24;0;1020.5;15.3;28.4;20.9;15.6;72;46;6.6;2;
2024-07-25;0;1018.6;15.1;29.2;21.7;15.6;68.7;38;9.5;3.4;
2024-07-26;0;1016.2;16;31;22.1;16.2;70.1;33;11.3;2.9;
2024-07-27;0;1016.3;17.3;31.8;23;17.3;72.4;38;11.8;2.6;
2024-07-28;0;1017.2;18.1;31.4;23.7;18.1;71.6;45;11.3;3.6;
2024-07-29;0;1015.3;18.4;32.3;24.7;19.9;69.6;43;11.4;3.7;
2024-07-30;0;1017.2;17.9;27.6;23.1;20.1;73.3;54;11.6;3.4;
2024-07-31;8.6;1020.6;18;24.4;20.8;19;84.3;73;11.7;3;
2024-08-01;4.4;1021;17.9;26.1;21.2;18.5;81.8;66;8.5;1.9;
2024-08-02;1;1020.5;16.3;26.2;20.6;16.1;76.5;63;8;2.3;
2024-08-03;19.8;1019;19.9;23.7;21.6;20.1;90.3;82;10.4;2;
2024-08-04;15.4;1019;19.6;25.9;21;18.5;91.3;78;5.6;1.5;
2024-08-05;14.2;1018.4;19.9;28;22.5;18.7;85.8;68;9;2.4;
2024-08-06;0;1016.5;18.3;29;22.5;16.7;78.1;60;11;3.3;
2024-08-07;0;1014.5;17.4;28.3;22.7;17.6;73.2;51;11.9;3.7;
2024-08-08;0;1011.6;17.5;30.5;23.7;19.3;68.9;49;9.9;4.2;
2024-08-09;0;1010.5;17.4;31;24.4;21.4;65.8;46;11.6;4.8;
2024-08-10;0;1010.4;17.9;28;21.5;19.5;80.4;68;13;3.3;
2024-08-11;.6;1015;13.2;23.7;19.6;17;67.4;53;10.3;2.2;
2024-08-12;0;1011.9;15.9;30.5;22.1;15.6;69.4;47;12.9;3.1;
2024-08-13;0;1018.1;10.9;22.6;20.2;18.3;55.7;43;13.4;4.4;
2024-08-14;null;1019.5;14.6;25.4;null;14.5;66.5;53;7.2;2;
2024-08-15;0;1018.2;16.1;28.4;21;15.1;74.8;53;10.4;2.8;
2024-08-16;0;1016.3;17;30;22.3;15.6;74;43;10.4;3.3;
2024-08-17;0;1014.7;17.4;30.4;23;16.7;72.6;43;10.2;3.4;
2024-08-18;0;1015.3;16.7;29.6;22.6;15.9;70.7;44;10.9;3.8;
2024-08-19;0;1016;16.1;30.9;23;16;68.7;36;13.7;4.7;
2024-08-20;0;1014.5;17;32.1;23.3;16.8;70.1;38;10.6;3.2;
2024-08-21;0;1015.8;18;28.7;22.5;19;77.3;49;7.4;1.9;
2024-08-22;0;1015.4;17.5;29.6;22.5;15.8;75.8;42;13.3;3.9;
2024-08-23;0;1012.9;17.7;32.6;24.3;17.5;68.7;35;12.4;4.2;
2024-08-24;0;1011.9;18.7;32.3;25.2;21.4;68.3;42;11.6;4.9;
2024-08-25;0;1015.2;18.3;29.5;23.8;21.3;72.6;47;9.8;2.9;
2024-08-26;3.4;1017.4;15.5;22.8;20.1;19.3;75.7;60;11.9;3.4;
2024-08-27;0;1020.5;12.5;21.3;19.1;17.6;65.8;56;9.4;2.9;
2024-08-28;0;1022.1;14.6;25.4;20.1;16.4;71.2;53;7.5;2;
2024-08-29;0;1022.2;14.8;27.7;21.7;18;67.2;37;8.3;1.7;
2024-08-30;0;1018.9;14.5;29;21.3;15.6;68.2;33;10.8;3;
2024-08-31;0;1016.2;16.1;29.3;21.6;14.5;73;43;8.8;2.9;
2024-09-01;0;1015.5;17;28.6;22.3;17.5;74.5;44;12.7;3.5;
